y,x,street_count,highway,geometry
9.9733321,78.0409255,3,,POINT (78.0409255 9.9733321)
9.9765796,78.0378294,3,,POINT (78.0378294 9.9765796)
9.9374707,78.0978844,3,,POINT (78.0978844 9.9374707)
9.9427957,78.0992838,4,,POINT (78.0992838 9.9427957)
9.9444261,78.0996533,3,,POINT (78.0996533 9.9444261)
9.9459033,78.0990498,3,,POINT (78.0990498 9.9459033)
9.9460749,78.0989269,3,,POINT (78.0989269 9.9460749)
9.9471467,78.0981356,4,,POINT (78.0981356 9.9471467)
9.9546726,78.0872048,3,,POINT (78.0872048 9.9546726)
9.9600509,78.0758885,3,,POINT (78.0758885 9.9600509)
9.9605373,78.0747131,4,,POINT (78.0747131 9.9605373)
9.878469,78.0306708,3,,POINT (78.0306708 9.878469)
9.8806806,78.0312803,3,,POINT (78.0312803 9.8806806)
9.8821798,78.0337662,3,,POINT (78.0337662 9.8821798)
9.8830404,78.0377676,3,,POINT (78.0377676 9.8830404)
9.8829441,78.0381632,3,,POINT (78.0381632 9.8829441)
9.8826257,78.0391632,3,,POINT (78.0391632 9.8826257)
9.8822912,78.040724,3,,POINT (78.040724 9.8822912)
9.882203,78.0413497,3,,POINT (78.0413497 9.882203)
9.8822534,78.050987,3,,POINT (78.050987 9.8822534)
9.895076,78.0854813,3,,POINT (78.0854813 9.895076)
9.8989612,78.0914891,4,,POINT (78.0914891 9.8989612)
9.903828,78.097346,3,,POINT (78.097346 9.903828)
9.9137828,78.0959125,3,,POINT (78.0959125 9.9137828)
9.9204728,78.0935759,4,,POINT (78.0935759 9.9204728)
9.9388347,78.0628158,3,,POINT (78.0628158 9.9388347)
9.9388342,78.0632951,3,,POINT (78.0632951 9.9388342)
9.9366699,78.0706251,3,,POINT (78.0706251 9.9366699)
9.9368268,78.0725026,3,,POINT (78.0725026 9.9368268)
9.9368261,78.0730277,3,,POINT (78.0730277 9.9368261)
9.9368063,78.073492,3,,POINT (78.073492 9.9368063)
9.9368124,78.0739835,3,,POINT (78.0739835 9.9368124)
